step,tl_name,actions,phase,reward
25253,보건환경연구원(단),0,4,0
25253,갑천네거리,0,5,0
25253,구성삼거리,0,2,0
25253,과기원삼거리,0,2,0
25253,카이스트교삼거리,0,2,0
25253,갑천(단),0,2,0
25254,미래부동산삼거리,0,2,0
25254,충대농대삼거리,0,2,0
25254,다솔APT삼거리,0,2,0
25254,유성구청네거리,0,1,0
25254,강변아파트삼거리,0,3,0
25254,보건환경연구원(단),0,4,0
25254,갑천네거리,0,5,0
25254,구성삼거리,0,2,0
25254,과기원삼거리,0,2,0
25254,카이스트교삼거리,0,2,0
25254,갑천(단),0,2,0
25255,미래부동산삼거리,0,2,0
25255,충대농대삼거리,0,2,0
25255,다솔APT삼거리,0,2,0
25255,유성구청네거리,0,1,0
25255,강변아파트삼거리,0,3,0
25255,보건환경연구원(단),0,4,0
25255,갑천네거리,0,5,0
25255,구성삼거리,0,2,0
25255,과기원삼거리,0,2,0
25255,카이스트교삼거리,0,2,0
25255,갑천(단),0,2,0
25256,미래부동산삼거리,0,2,0
25256,충대농대삼거리,0,2,0
25256,다솔APT삼거리,0,2,0
25256,유성구청네거리,0,1,0
25256,강변아파트삼거리,0,4,0
25256,보건환경연구원(단),0,4,0
25256,갑천네거리,0,5,0
25256,구성삼거리,0,2,0
25256,과기원삼거리,0,2,0
25256,카이스트교삼거리,0,2,0
25256,갑천(단),0,2,0
25257,미래부동산삼거리,0,2,0
25257,충대농대삼거리,0,2,0
25257,다솔APT삼거리,0,2,0
25257,유성구청네거리,0,1,0
25257,강변아파트삼거리,0,4,0
25257,보건환경연구원(단),0,4,0
25257,갑천네거리,0,5,0
25257,구성삼거리,0,2,0
25257,과기원삼거리,0,2,0
25257,카이스트교삼거리,0,2,0
25257,갑천(단),0,2,0
25258,미래부동산삼거리,0,2,0
25258,충대농대삼거리,0,2,0
25258,다솔APT삼거리,0,2,0
25258,유성구청네거리,0,1,0
25258,강변아파트삼거리,0,4,0
25258,보건환경연구원(단),0,4,0
25258,갑천네거리,0,5,0
25258,구성삼거리,0,2,0
25258,과기원삼거리,0,2,0
25258,카이스트교삼거리,0,2,0
25258,갑천(단),0,2,0
25259,미래부동산삼거리,0,2,0
25259,충대농대삼거리,0,2,0
25259,다솔APT삼거리,0,2,0
25259,유성구청네거리,0,1,0
25259,강변아파트삼거리,0,4,0
25259,보건환경연구원(단),0,4,0
25259,갑천네거리,0,5,0
25259,구성삼거리,0,2,0
25259,과기원삼거리,0,2,0
25259,카이스트교삼거리,0,2,0
25259,갑천(단),0,2,0
25260,미래부동산삼거리,0,2,0
25260,충대농대삼거리,0,2,0
25260,다솔APT삼거리,0,2,0
25260,유성구청네거리,0,1,0
25260,강변아파트삼거리,0,4,0
25260,보건환경연구원(단),0,4,0
25260,갑천네거리,0,5,0
25260,구성삼거리,0,2,0
25260,과기원삼거리,0,2,0
25260,카이스트교삼거리,0,2,0
25260,갑천(단),0,2,0
25261,미래부동산삼거리,0,2,0
25261,충대농대삼거리,0,2,0
25261,다솔APT삼거리,0,2,0
25261,유성구청네거리,0,1,0
25261,강변아파트삼거리,0,4,0
25261,보건환경연구원(단),0,0,0
25261,갑천네거리,0,5,0
25261,구성삼거리,0,2,0
25261,과기원삼거리,0,2,0
25261,카이스트교삼거리,0,2,0
25261,갑천(단),0,2,0
25262,미래부동산삼거리,0,2,0
25262,충대농대삼거리,0,2,0
25262,다솔APT삼거리,0,2,0
25262,유성구청네거리,0,1,0
25262,강변아파트삼거리,0,4,0
25262,보건환경연구원(단),0,0,0
25262,갑천네거리,0,5,0
25262,구성삼거리,0,2,0
25262,과기원삼거리,0,2,0
25262,카이스트교삼거리,0,2,0
25262,갑천(단),0,2,0
25263,미래부동산삼거리,0,2,0
25263,충대농대삼거리,0,2,0
25263,다솔APT삼거리,0,2,0
25263,유성구청네거리,0,1,0
25263,강변아파트삼거리,0,4,0
25263,보건환경연구원(단),0,0,0
25263,갑천네거리,0,5,0
25263,구성삼거리,0,2,0
25263,과기원삼거리,0,2,0
25263,카이스트교삼거리,0,2,0
25263,갑천(단),0,2,0
25264,미래부동산삼거리,0,2,0
25264,충대농대삼거리,0,2,0
25264,다솔APT삼거리,0,2,0
25264,유성구청네거리,0,1,0
25264,강변아파트삼거리,0,4,0
25264,보건환경연구원(단),0,0,0
25264,갑천네거리,0,5,0
25264,구성삼거리,0,3,0
25264,과기원삼거리,0,2,0
25264,카이스트교삼거리,0,2,0
25264,갑천(단),0,2,0
25265,미래부동산삼거리,0,2,0
25265,충대농대삼거리,0,2,0
25265,다솔APT삼거리,0,2,0
25265,유성구청네거리,0,1,0
25265,강변아파트삼거리,0,4,0
25265,보건환경연구원(단),0,0,0
25265,갑천네거리,0,5,0
25265,구성삼거리,0,3,0
25265,과기원삼거리,0,2,0
25265,카이스트교삼거리,0,2,0
25265,갑천(단),0,2,0
25266,미래부동산삼거리,0,2,0
25266,충대농대삼거리,0,2,0
25266,다솔APT삼거리,0,2,0
25266,유성구청네거리,0,1,0
25266,강변아파트삼거리,0,4,0
25266,보건환경연구원(단),0,0,0
25266,갑천네거리,0,5,0
25266,구성삼거리,0,3,0
25266,과기원삼거리,0,3,0
25266,카이스트교삼거리,0,2,0
25266,갑천(단),0,2,0
25267,미래부동산삼거리,0,2,0
25267,충대농대삼거리,0,2,0
25267,다솔APT삼거리,0,2,0
25267,유성구청네거리,0,1,0
25267,강변아파트삼거리,0,4,0
25267,보건환경연구원(단),0,0,0
25267,갑천네거리,0,5,0
25267,구성삼거리,0,3,0
25267,과기원삼거리,0,3,0
25267,카이스트교삼거리,0,2,0
25267,갑천(단),0,2,0
25268,미래부동산삼거리,0,2,0
25268,충대농대삼거리,0,2,0
25268,다솔APT삼거리,0,2,0
25268,유성구청네거리,0,1,0
25268,강변아파트삼거리,0,4,0
25268,보건환경연구원(단),0,0,0
25268,갑천네거리,0,5,0
25268,구성삼거리,0,4,0
25268,과기원삼거리,0,3,0
25268,카이스트교삼거리,0,2,0
25268,갑천(단),0,2,0
25269,미래부동산삼거리,0,2,0
25269,충대농대삼거리,0,2,0
25269,다솔APT삼거리,0,2,0
25269,유성구청네거리,0,1,0
25269,강변아파트삼거리,0,4,0
25269,보건환경연구원(단),0,0,0
25269,갑천네거리,0,5,0
